"General","عمومی"
"Iranian Regions NE","استان‌های ایران وج"
"This extension adds Iranian regions list to your magento store.<br />There is not any configuration option for this extension.","این اکستنشن لیست استان‌های ایران را به فروشگاه مجنتویتان اضافه می‌کند. <br />هیچ گزینه‌ی پیکربندی برای این اکستنشن وجود ندارد."
